StateFIPCode,ZipCode,StateAbbr,City,Longitude,Latitude,Population,AllocationPercentage
08,80650,CO,PIERCE,104.76376400,40.63591100,1020,.0003100000
08,80651,CO,PLATTEVILLE,104.80277600,40.21312100,2577,.0007820000
08,80652,CO,ROGGEN,104.31574700,40.20744500,150,.0000460000
08,80653,CO,WELDONA,103.96775500,40.36809300,328,.0001000000
08,80654,CO,HOYT,104.05281400,40.20565100,1746,.0005300000
08,80701,CO,FORT MORGAN,103.80311900,40.25408400,13263,.0040260000
08,80720,CO,AKRON,103.22588500,40.18031500,2559,.0007770000
08,80721,CO,AMHERST,102.17056700,40.68238600,86,.0000260000
08,80722,CO,ATWOOD,103.03930100,40.51743200,140,.0000420000
08,80723,CO,BRUSH,103.62788000,40.26025500,5603,.0017010000
08,80726,CO,CROOK,102.84717400,40.87474300,638,.0001940000
08,80727,CO,ECKLEY,102.48277600,40.11377500,242,.0000730000
08,80728,CO,FLEMING,102.86882100,40.63701900,853,.0002590000
08,80729,CO,GROVER,104.23461300,40.87163500,492,.0001490000
08,80731,CO,HAXTUN,102.60517500,40.64058700,1569,.0004760000
08,80733,CO,HILLROSE,103.54181600,40.30718600,516,.0001570000
08,80734,CO,HOLYOKE,102.28254500,40.58254200,2642,.0008020000
08,80735,CO,HALE,102.21156300,39.73314700,393,.0001190000
08,80736,CO,ILIFF,103.09680800,40.76917400,778,.0002360000
08,80737,CO,JULESBURG,102.25750100,40.97083000,1712,.0005200000
08,80740,CO,LINDON,103.31447100,39.83084900,136,.0000410000
08,80741,CO,WILLARD,103.34471000,40.51154800,959,.0002910000
08,80742,CO,NEW RAYMER,103.83898200,40.68507900,310,.0000940000
08,80743,CO,OTIS,102.93921900,40.20298900,1102,.0003350000
08,80744,CO,OVID,102.38739600,40.94586500,563,.0001710000
08,80745,CO,PADRONI,103.35816300,40.95491100,72,.0000220000
08,80747,CO,PEETZ,103.11660600,40.95195000,451,.0001370000
08,80749,CO,SEDGWICK,102.52912200,40.91031700,415,.0001260000
08,80750,CO,SNYDER,103.59713400,40.33065500,134,.0000410000
08,80751,CO,STERLING,103.22118300,40.63062000,13524,.0041050000
08,80754,CO,STONEHAM,103.63868700,40.68699400,141,.0000430000
08,80755,CO,VERNON,102.31934300,39.93312700,318,.0000970000
08,80757,CO,LAST CHANCE,103.57803300,39.93810500,265,.0000800000
08,80758,CO,LAIRD,102.23375100,40.10491700,3396,.0010310000
08,80759,CO,YUMA,102.70717400,40.13006300,3811,.0011570000
08,80801,CO,ANTON,103.43429600,39.68652700,240,.0000730000
08,80802,CO,ARAPAHOE,102.19401000,38.84171600,335,.0001020000
08,80804,CO,ARRIBA,103.27096800,39.30253000,388,.0001180000
08,80805,CO,BETHUNE,102.42814200,39.34477100,543,.0001650000
08,80807,CO,BURLINGTON,102.25828100,39.31064900,3982,.0012090000
08,80808,CO,CALHAN,104.35527400,38.96477300,2955,.0008970000
08,80809,CO,NORTH POLE,104.99368400,38.92131400,2259,.0006860000
08,80810,CO,CHEYENNE WELLS,102.35817300,38.81976200,1364,.0004140000
08,80812,CO,COPE,102.98809800,39.74622700,626,.0001900000
08,80814,CO,DIVIDE,105.19937000,38.95762200,1675,.0005080000
08,80815,CO,FLAGLER,103.06239500,39.31265400,854,.0002590000
08,80816,CO,FLORISSANT,105.22610600,38.82766900,2480,.0007530000
08,80817,CO,FOUNTAIN,104.70046900,38.69956300,11570,.0035120000
08,80818,CO,GENOA,103.46068900,39.33832800,320,.0000970000
08,80820,CO,GUFFEY,105.57835000,38.81458400,300,.0000910000
08,80821,CO,HUGO,103.49897100,39.08431800,1064,.0003230000
08,80822,CO,JOES,102.61513400,39.67277100,315,.0000960000
08,80823,CO,KARVAL,103.50061300,38.71194000,339,.0001030000
08,80824,CO,KIRK,102.47755400,39.61707200,479,.0001450000
08,80825,CO,KIT CARSON,102.81984200,38.80398400,698,.0002120000
08,80827,CO,LAKE GEORGE,105.43465400,39.03423300,587,.0001780000
08,80828,CO,LIMON,103.68557200,39.27126000,2244,.0006810000
08,80829,CO,MANITOU SPRINGS,104.90583900,38.85499400,4989,.0015140000
08,80830,CO,MATHESON,103.91316500,39.13204400,439,.0001330000
08,80831,CO,PEYTON,104.54722000,38.95409700,3707,.0011250000
08,80832,CO,RAMAH,104.12473300,39.07357100,561,.0001700000
08,80833,CO,RUSH,104.02406500,38.76424800,408,.0001240000
08,80834,CO,SEIBERT,102.88218400,39.31832900,364,.0001100000
08,80835,CO,SIMLA,104.08623600,39.14645700,580,.0001760000
08,80836,CO,STRATTON,102.59792800,39.30873300,1102,.0003350000
08,80840,CO,UNITED STATES AI,104.86013900,38.99044800,9062,.0027510000
08,80861,CO,VONA,102.73928700,39.32356400,295,.0000900000
08,80863,CO,WOODLAND PARK,105.06229200,38.99692900,8272,.0025110000
